Code;Libellé;Centroide_X;Centroide_Y
1352;Saint-Étienne-sur-Reyssouze;5,005477644;46,403169
1353;Sainte-Euphémie;4,794926844;45,96706191
1354;Saint-Genis-Pouilly;6,036451888;46,25428163
1355;Saint-Genis-sur-Menthon;5,013888547;46,28205116
1356;Saint-Georges-sur-Renon;5,029151881;46,10406296
1357;Saint-Germain-de-Joux;5,74688796;46,18237689
1358;Saint-Germain-les-Paroisses;5,617794194;45,7710134
1359;Saint-Germain-sur-Renon;5,060424887;46,08018218
1360;Saint-Jean-de-Gonville;5,94149796;46,21793181
1361;Saint-Jean-de-Niost;5,212370678;45,8402671
1362;Saint-Jean-de-Thurigneux;4,89956564;45,95996728
1363;Saint-Jean-le-Vieux;5,383528635;46,02924366
1364;Saint-Jean-sur-Reyssouze;5,06318489;46,3972219
1365;Saint-Jean-sur-Veyle;4,922958504;46,26829949
1366;Sainte-Julie;5,28431063;45,88190889
1367;Saint-Julien-sur-Reyssouze;5,103930264;46,40005289
1368;Saint-Julien-sur-Veyle;4,959684004;46,20162496
1369;Saint-Just;5,284051312;46,19315973
1370;Saint-Laurent-sur-Saône;4,839978573;46,3049684
1371;Saint-Marcel;4,989689156;45,94850386
1372;Saint-Martin-de-Bavel;5,679054172;45,84815573
1373;Saint-Martin-du-Frêne;5,571597645;46,13604785
1374;Saint-Martin-du-Mont;5,325619789;46,10608609
1375;Saint-Martin-le-Châtel;5,122845145;46,29132392
1376;Saint-Maurice-de-Beynost;4,977403818;45,83291251
1378;Saint-Maurice-de-Gourdans;5,170301635;45,82013372
1379;Saint-Maurice-de-Rémens;5,270208662;45,95287454
1380;Saint-Nizier-le-Bouchoux;5,175623503;46,45261725
1381;Saint-Nizier-le-Désert;5,141930326;46,05270367
1382;Sainte-Olive;4,936094218;46,01405622
1383;Saint-Paul-de-Varax;5,127575822;46,09559903
1384;Saint-Rambert-en-Bugey;5,44020303;45,9509848
1385;Saint-Rémy;5,167722755;46,18437816
1386;Saint-Sorlin-en-Bugey;5,376567669;45,88627328
1387;Saint-Sulpice;5,041658393;46,32070538
1388;Saint-Trivier-de-Courtes;5,066775157;46,46145545
1389;Saint-Trivier-sur-Moignans;4,900934117;46,06190049
1390;Saint-Vulbas;5,270283974;45,82227701
1391;Salavre;5,347290116;46,36375807
1392;Samognat;5,585599598;46,26496997
1393;Sandrans;4,982310663;46,06558196
1396;Sault-Brénaz;5,403321419;45,86545729
1397;Sauverny;6,110327197;46,31279358
1398;Savigneux;4,857677519;45,99731708
1399;Ségny;6,073290186;46,29411831
1400;Seillonnaz;5,497725993;45,7972074
1401;Sergy;5,987992886;46,26320277
1402;Sermoyer;4,977945753;46,49842167
1403;Serrières-de-Briord;5,441425775;45,81315485
1404;Serrières-sur-Ain;5,449845785;46,14644252
1405;Servas;5,179308009;46,13921608
1406;Servignat;5,055345172;46,43493957
1407;Seyssel;5,826226212;45,9482031
1408;Simandre-sur-Suran;5,422640099;46,23408947
1409;Songieu;5,716280936;45,98176936
1410;Sonthonnax-la-Montagne;5,506686445;46,2242391
1411;Souclin;5,43065528;45,87804439
1412;Sulignat;4,957311652;46,17322044
1413;Surjoux;5,799792108;46,03065822
1414;Sutrieu;5,650060041;45,93130689
1415;Talissieu;5,720301979;45,86346276
1416;Tenay;5,514592703;45,92283493
1417;Thézillieu;5,596824997;45,89324315
1418;Thil;5,017581442;45,81679467
1419;Thoiry;5,965315906;46,2436603
1420;Thoissey;4,795521395;46,1707128
1421;Torcieu;5,40341564;45,92161512
1422;Tossiat;5,303593173;46,13854561
1423;Toussieux;4,829238662;45,96003157
1424;Tramoyes;4,964283554;45,87452964
1425;La Tranclière;5,261443623;46,09715549
1426;Treffort-Cuisiat;5,360643784;46,28073999
1427;Trévoux;4,770657297;45,94102065
1428;Valeins;4,865131392;46,1146245
1429;Vandeins;5,081482039;46,21747624
1430;Varambon;5,294215133;46,04347045
1431;Vaux-en-Bugey;5,364191284;45,92022108
1432;Verjon;5,348369812;46,34583994
1433;Vernoux;5,105924123;46,48501695
1434;Versailleux;5,112612378;45,98565274
1435;Versonnex;6,100760768;46,30005833
1436;Vesancy;6,084583718;46,36144033
1437;Vescours;5,026142707;46,47477819
1439;Vésines;4,862272627;46,35892031
1441;Vieu-d'Izenave;5,549355998;46,08523675
1442;Vieu;5,689534494;45,88995002
1443;Villars-les-Dombes;5,045188065;45,99270012
1444;Villebois;5,447355041;45,84853057
1445;Villemotier;5,310379301;46,34587032
1446;Villeneuve;4,851577923;46,03156872
1447;Villereversure;5,394736603;46,1924572
1448;Villes;5,757815212;46,09544667
1449;Villette-sur-Ain;5,252044256;46,00984837
1450;Villieu-Loyes-Mollon;5,229537187;45,93218333
1451;Viriat;5,223209578;46,2507757
1452;Virieu-le-Grand;5,639892772;45,84670562
1453;Virieu-le-Petit;5,736446002;45,90636808
1454;Virignin;5,71282688;45,7267356
1456;Vongnes;5,724413957;45,81307218
1457;Vonnas;4,997559434;46,21670555
2001;Abbécourt;3,176839718;49,59978664
2002;Achery;3,397617128;49,69398961
2003;Acy;3,418220273;49,34698459
2004;Agnicourt-et-Séchelles;3,961137477;49,71652438
2005;Aguilcourt;3,967594417;49,39375438
2006;Aisonville-et-Bernoville;3,511351197;49,93033219
2007;Aizelles;3,818465443;49,4849137
2008;Aizy-Jouy;3,511118209;49,43861547
2009;Alaincourt;3,367034083;49,76634956
2010;Allemant;3,453133113;49,4626279
2011;Ambleny;3,183645795;49,37656147
2012;Ambrief;3,403802799;49,32156078
2013;Amifontaine;3,922875723;49,49868656
2014;Amigny-Rouy;3,302727709;49,61089545
2015;Ancienville;3,208261874;49,21888436
2016;Andelain;3,369376396;49,64124033
2017;Anguilcourt-le-Sart;3,427872834;49,69412103
2018;Anizy-le-Château;3,432242516;49,50464569
2019;Annois;3,176124555;49,71964371
2020;Any-Martin-Rieux;4,224008188;49,8816255
2021;Archon;4,119701064;49,74401279
2022;Arcy-Sainte-Restitue;3,478581413;49,25490718
2023;Armentières-sur-Ourcq;3,386886146;49,17410758
2024;Arrancy;3,764249161;49,49877781
2025;Artemps;3,197234045;49,76167414
2026;Artonges;3,544458023;48,92950261
2027;Assis-sur-Serre;3,554692968;49,68039632
2028;Athies-sous-Laon;3,689908464;49,5757935
2029;Attilly;3,154436789;49,85530568
2030;Aubencheul-aux-Bois;3,26136417;50,02413576
2031;Aubenton;4,190129489;49,82518016
2032;Aubigny-aux-Kaisnes;3,119640968;49,77252206
2033;Aubigny-en-Laonnois;3,792210837;49,4967644
2034;Audignicourt;3,127255898;49,47767413
2035;Audigny;3,632082347;49,86623781
2036;Augy;3,511354931;49,34027424
2037;Aulnois-sous-Laon;3,609372244;49,6198787
2038;Les Autels;4,224019973;49,76117155
2039;Autremencourt;3,793632136;49,705334
2040;Autreppes;3,855982085;49,89703988
2041;Autreville;3,23664806;49,58566983
2042;Azy-sur-Marne;3,360079019;49,00444266
2043;Bagneux;3,279183671;49,45990443
2044;Bancigny;4,036471177;49,79799764
2046;Barenton-Bugny;3,661576007;49,62219556
2047;Barenton-Cel;3,644779843;49,64778959
2048;Barenton-sur-Serre;3,690512292;49,66784666
2049;Barisis-aux-Bois;3,327530053;49,57770899
2050;Barzy-en-Thiérache;3,749358331;50,0397901
2051;Barzy-sur-Marne;3,561580754;49,09118574
2052;Bassoles-Aulers;3,384866183;49,53331629
2053;Baulne-en-Brie;3,60502276;48,98936204
2054;Bazoches-sur-Vesles;3,615673478;49,30643285
2055;Beaumé;4,151914256;49,82092073
2056;Beaumont-en-Beine;3,132072883;49,68764924
2057;Beaurevoir;3,329968697;49,99661062
2058;Beaurieux;3,752385968;49,40217538
2059;Beautor;3,338139857;49,64819796
2060;Beauvois-en-Vermandois;3,103227076;49,8340522
2061;Becquigny;3,459630593;50,01612256
2062;Belleau;3,29978365;49,08328622
2063;Bellenglise;3,244572286;49,92599795
2064;Belleu;3,340330347;49,35703805
2065;Bellicourt;3,230144181;49,95940016
2066;Benay;3,308381801;49,75569405
2067;Bergues-sur-Sambre;3,71236484;50,02951175
2068;Berlancourt;3,755457271;49,78055834
2069;Berlise;4,113515998;49,66185655
2070;Bernot;3,486867043;49,87887079
2071;Berny-Rivière;3,14971332;49,41131621
2072;Berrieux;3,852417921;49,48292941
2073;Berry-au-Bac;3,898752922;49,40856081
2074;Bertaucourt-Epourdon;3,397282411;49,62739297
2075;Berthenicourt;3,372650534;49,77860806
2076;Bertricourt;4,012254428;49,39736851
2077;Berzy-le-Sec;3,296389658;49,3168419
2078;Besmé;3,163331401;49,53400142
2079;Besmont;4,117500373;49,82346499
2080;Besny-et-Loizy;3,577088837;49,59246887
2081;Béthancourt-en-Vaux;3,140590613;49,62912527
2082;Beugneux;3,416439773;49,22739802
2083;Beuvardes;3,491669123;49,13078821
2084;Bézu-le-Guéry;3,228357088;49,01154497
2085;Bézu-Saint-Germain;3,408303308;49,10482406
2086;Bichancourt;3,212509853;49,57921585
2087;Bieuxy;3,27532309;49,44604353
2088;Bièvres;3,714045981;49,49248587
2089;Billy-sur-Aisne;3,375905841;49,35541823
2090;Billy-sur-Ourcq;3,299112151;49,22131341
2091;Blanzy-lès-Fismes;3,671449338;49,33686919
2093;Blérancourt;3,150905921;49,50783177
2094;Blesmes;3,4640444;49,02654448
2095;Bohain-en-Vermandois;3,464858434;49,98904483
2096;Bois-lès-Pargny;3,65401576;49,73736647
2097;Boncourt;3,956126587;49,6263085
2098;Bonneil;3,345745885;49,00802181
2099;Bonnesvalyn;3,325163886;49,12621476
2100;Bony;3,220518915;49,99072071
2101;Bosmont-sur-Serre;3,866897773;49,73912322
2102;Bouconville-Vauclair;3,756696596;49,4601267
2103;Boué;3,71434671;50,01145586
